google/guava,447
TheAlgorithms/Java,461
GrowingGit/GitHub-Chinese-Top-Charts,463
spring-projects/spring-framework,477
macrozheng/mall,583
elastic/elasticsearch,597
spring-projects/spring-boot,612
doocs/advanced-java,634
MisterBooo/LeetCodeAnimation,702
Snailclimb/JavaGuide,1215
